"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"112 BRUNSWICK ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","-","619","102","1970","$1,095,000","30 Aug 2025","Pending Settlement Advice","Jellis Craig Glen Waverley","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS324697","Rented","https://rpp.corelogic.com.au/property/112-brunswick-road-mitcham-vic-3132/11847355"
"12 CARWEEN AVENUE ","MITCHAM","VIC","3132","House","3","1","-","833","130","1960","$1,515,000","30 Aug 2025","Pending Settlement Advice","-","-","Neighbourhood Residential Zone - Schedule 3","-","Owner Occupied","https://rpp.corelogic.com.au/property/12-carween-avenue-mitcham-vic-3132/36042963"
"3/55 CARWEEN AVENUE ","MITCHAM","VIC","3132","House","2","1","2","217","106","-","$805,000","30 Aug 2025","Pending Settlement Advice","RAY WHITE REAL ESTATE MITCHAM","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 3","3/RP18068","Owner Occupied","https://rpp.corelogic.com.au/property/3-55-carween-avenue-mitcham-vic-3132/11847892"
"2/23 IAN CRESCENT ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","2","278","-","-","Not Disclosed","30 Aug 2025","Pending Settlement Advice","Biggin & Scott - Glen Waverley","-","Neighbourhood Residential Zone - Schedule 3","2/PS733967","Owner Occupied","https://rpp.corelogic.com.au/property/2-23-ian-crescent-mitcham-vic-3132/37319214"
"2 LUCKNOW COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","1","616","620","1960","Not Disclosed","30 Aug 2025","Pending Settlement Advice","Jellis Craig Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","49/LP17076","Owner Occupied","https://rpp.corelogic.com.au/property/2-lucknow-court-mitcham-vic-3132/11853339"
"7 ROTHERWOOD AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","2","470","181","1960","$1,727,000","30 Aug 2025","Pending Settlement Advice","Barry Plant Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","LOT 50 LP12194 & 1\PS903900","Rented","https://rpp.corelogic.com.au/property/7-rotherwood-avenue-mitcham-vic-3132/11858010"
"6/35 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","286","142","2010","$1,090,000","29 Aug 2025","Pending Settlement Advice","Roger Davis Real Estate","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 4","6/PS611544","Owner Occupied","https://rpp.corelogic.com.au/property/6-35-harrison-street-mitcham-vic-3132/14971480"
"12 DAWE ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","627","108","1960","Not Disclosed","27 Aug 2025","Pending Settlement Advice","Nick Tang Property","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 1","10/LP86423","Owner Occupied","https://rpp.corelogic.com.au/property/12-dawe-road-mitcham-vic-3132/11849470"
"115/569 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","3,197","78","2017","$520,000","27 Aug 2025","Pending Settlement Advice","Ray White Burwood","Strata Unit or Flat  (Unspecified)","Residential Growth Zone - Schedule 1","206B/PS701327","Owner Occupied","https://rpp.corelogic.com.au/property/115-569-whitehorse-road-mitcham-vic-3132/18066234"
"309/339 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","94","94","2014","$485,000","26 Aug 2025","Pending Settlement Advice","BigginScott Mitcham","Strata Unit or Flat  (Unspecified)","Commercial 1 Zone","309/PS703655","Owner Occupied","https://rpp.corelogic.com.au/property/309-339-mitcham-road-mitcham-vic-3132/37277850"
"2/503 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","210","81","1990","Not Disclosed","25 Aug 2025","Pending Settlement Advice","Barry Plant - Boronia","-","Neighbourhood Residential Zone - Schedule 3","2/PS442313","Rented","https://rpp.corelogic.com.au/property/2-503-mitcham-road-mitcham-vic-3132/11854975"
"2 BLOSSOM STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","416","254","1970","$1,241,000","23 Aug 2025","Pending Settlement Advice","Ray White Judd White Group-Glen Waverley","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS423995","Owner Occupied","https://rpp.corelogic.com.au/property/2-blossom-street-mitcham-vic-3132/11846970"
"2/14 CHURINGA AVENUE ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","285","144","-","$1,105,000","23 Aug 2025","Pending Settlement Advice","Noel Jones Ringwood and Croydon","Townhouse","Neighbourhood Residential Zone - Schedule 3","2/PS524123","Owner Occupied","https://rpp.corelogic.com.au/property/2-14-churinga-avenue-mitcham-vic-3132/11848201"
"27 RESERVE AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","-","646","123","1955","$1,800,000","23 Aug 2025","Pending Settlement Advice","Jellis Craig Croydon","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","76/LP41887","Rented","https://rpp.corelogic.com.au/property/27-reserve-avenue-mitcham-vic-3132/11857621"
"57 QUARRY ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","724","92","1950","$900,000","22 Aug 2025","Pending Settlement Advice","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","9/LP21039","Owner Occupied","https://rpp.corelogic.com.au/property/57-quarry-road-mitcham-vic-3132/11857340"
"1/21 IAN CRESCENT ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","-","294","159","2015","$1,250,000","21 Aug 2025","Pending Settlement Advice","Barry Plant Heathmont & Ringwood","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 3","1/PS737703","Owner Occupied","https://rpp.corelogic.com.au/property/1-21-ian-crescent-mitcham-vic-3132/17477690"
"327B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit: Standard","1","1","-","3,890","-","2012","Not Disclosed","18 Aug 2025","Pending Settlement Advice","Noel Jones Whitehorse","Strata Unit or Flat  (Unspecified)","Mixed Use Zone","315B/PS632398","Rented","https://rpp.corelogic.com.au/property/327b-1-colombo-street-mitcham-vic-3132/16172841"
"10 GILLIES STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","728","199","2008","$1,614,000","16 Aug 2025","Pending Settlement Advice","Barry Plant - Blackburn","Detached Dwelling","General Residential Zone - Schedule 1","2/LP91182","Owner Occupied","https://rpp.corelogic.com.au/property/10-gillies-street-mitcham-vic-3132/11851153"
"4/35 ORIENT AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","212","78","2010","Not Disclosed","16 Aug 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Townhouse","Neighbourhood Residential Zone - Schedule 3","4/PS617253","Rented","https://rpp.corelogic.com.au/property/4-35-orient-avenue-mitcham-vic-3132/14458950"
"3/108 BRUNSWICK ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","612","127","2024","Not Disclosed","15 Aug 2025","Pending Settlement Advice","Levic Group - Docklands","-","-","3/PS913518","Owner Occupied","https://rpp.corelogic.com.au/property/3-108-brunswick-road-mitcham-vic-3132/52471531"
"9 RUPERT STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","-","1,453","130","-","Not Disclosed","15 Aug 2025","Pending Settlement Advice","Noel Jones Whitehorse","-","General Residential Zone - Schedule 2","2/LP21821","Owner Occupied","https://rpp.corelogic.com.au/property/9-rupert-street-mitcham-vic-3132/11858157"
"7 SOMERS STREET ","MITCHAM","VIC","3132","House","4","1","2","863","174","1968","Not Disclosed","15 Aug 2025","Pending Settlement Advice","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","55/LP43227","Owner Occupied","https://rpp.corelogic.com.au/property/7-somers-street-mitcham-vic-3132/11858628"
"4 MINTLEAF GROVE ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","1","195","144","2000","$850,000","12 Aug 2025","Pending Settlement Advice","Barry Plant - Blackburn","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","131/PS449279","Owner Occupied","https://rpp.corelogic.com.au/property/4-mintleaf-grove-mitcham-vic-3132/11854133"
"4/485 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","71","81","1970","$615,000","12 Aug 2025","Pending Settlement Advice","Woodards - Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","4/RP763","Rented","https://rpp.corelogic.com.au/property/4-485-mitcham-road-mitcham-vic-3132/14760275"
"530B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit: Standard","2","2","1","3,890","64","2012","$415,000","11 Aug 2025","Pending Settlement Advice","Barry Plant Blackburn","Strata Unit or Flat  (Unspecified)","Mixed Use Zone","522B/PS632398","Rented","https://rpp.corelogic.com.au/property/530b-1-colombo-street-mitcham-vic-3132/16204393"
"200 MITCHAM ROAD ","MITCHAM","VIC","3132","Business: Health & Education","5","1","10","725","190","1960","Not Disclosed","10 Aug 2025","Pending Settlement Advice","OBrien Real Estate Keysborough","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","4/LP26187","-","https://rpp.corelogic.com.au/property/200-mitcham-road-mitcham-vic-3132/11854198"
"4 CULWELL AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","254","100","-","Not Disclosed","09 Aug 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","2/PS423995","Owner Occupied","https://rpp.corelogic.com.au/property/4-culwell-avenue-mitcham-vic-3132/11849264"
"30 FORSTER STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","354","-","-","$825,000","09 Aug 2025","Pending Settlement Advice","Barry Plant - Blackburn","-","General Residential Zone - Schedule 2","2/SP37516","Rented","https://rpp.corelogic.com.au/property/30-forster-street-mitcham-vic-3132/11850934"
"8 HADDON COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","651","124","-","$1,440,000","09 Aug 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","-","Neighbourhood Residential Zone - Schedule 1","47/LP144292","Owner Occupied","https://rpp.corelogic.com.au/property/8-haddon-court-mitcham-vic-3132/11851564"
"55 ORIENT AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","537","196","-","Not Disclosed","09 Aug 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","6/LP58330","Owner Occupied","https://rpp.corelogic.com.au/property/55-orient-avenue-mitcham-vic-3132/11855909"
"22 RUPERT STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","395","106","1950","$1,144,000","09 Aug 2025","Pending Settlement Advice","Noel Jones Whitehorse","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","1/PS545394","Owner Occupied","https://rpp.corelogic.com.au/property/22-rupert-street-mitcham-vic-3132/11858197"
"4 SHIRLEY COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","536","105","-","$1,052,000","09 Aug 2025","Pending Settlement Advice","Barry Plant - Blackburn","Detached Dwelling (existing)","General Residential Zone - Schedule 1","1/TP80663","Owner Occupied","https://rpp.corelogic.com.au/property/4-shirley-court-mitcham-vic-3132/11858486"
"2/720 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","476","141","-","$1,177,000","09 Aug 2025","Pending Settlement Advice","CHN Real Estate Group","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","2/PS737917","Owner Occupied","https://rpp.corelogic.com.au/property/2-720-whitehorse-road-mitcham-vic-3132/17239773"
"7/11 CHURCH STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","809","77","2012","$499,500","08 Aug 2025","Pending Settlement Advice","CHN Real Estate Group","Townhouse","General Residential Zone - Schedule 2","7/PS638440","Owner Occupied","https://rpp.corelogic.com.au/property/7-11-church-street-mitcham-vic-3132/16285080"
"372 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit","2","1","1","-","76","2020","$580,000","03 Aug 2025","Pending Settlement Advice","Woodards Manningham","-","-","-","Owner Occupied","https://rpp.corelogic.com.au/property/372-mitcham-road-mitcham-vic-3132/49818591"
"6/12 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","238","102","1970","$861,000","02 Aug 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Strata Unit or Flat  (Unspecified)","Residential Growth Zone - Schedule 1","LOT 6 RP7578 & LOT 11 TP13659","Owner Occupied","https://rpp.corelogic.com.au/property/6-12-harrison-street-mitcham-vic-3132/11851927"
"2/65 QUARRY ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","2","415","105.2","1985","$925,000","02 Aug 2025","Pending Settlement Advice","Flechters Blackburn","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 1","2/SP21656","Owner Occupied","https://rpp.corelogic.com.au/property/2-65-quarry-road-mitcham-vic-3132/11857361"
"3/13 HOPETOUN STREET ","MITCHAM","VIC","3132","Other","4","2","2","-","-","-","$1,332,000","01 Aug 2025","Pending Settlement Advice","-","-","-","-","-","https://rpp.corelogic.com.au/property/3-13-hopetoun-street-mitcham-vic-3132/61580881"
"3 MILNE STREET ","MITCHAM","VIC","3132","House","5","2","1","853","224","-","$0","31 Jul 2025","Nils And Wills","ALLENS ESTATE AGENTS BLACKBURN","Detached Dwelling (existing)","General Residential Zone - Schedule 1","1/TP138018","Owner Occupied","https://rpp.corelogic.com.au/property/3-milne-street-mitcham-vic-3132/11854083"
"1A SIMPSON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","215","105","1993","$880,000","26 Jul 2025","Pending Settlement Advice","Flechters Blackburn","Detached Dwelling (existing)","General Residential Zone - Schedule 2","1/TP84884","Owner Occupied","https://rpp.corelogic.com.au/property/1a-simpson-street-mitcham-vic-3132/11858552"
"14 SOMERS STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","725","-","-","$910,000","26 Jul 2025","-","Jellis Craig - Doncaster","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/LP52909","Owner Occupied","https://rpp.corelogic.com.au/property/14-somers-street-mitcham-vic-3132/11858643"
"1D WOODDALE GROVE ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","323","131","2000","Not Disclosed","26 Jul 2025","Pending Settlement Advice","Ray White Burwood","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/PS525247","Owner Occupied","https://rpp.corelogic.com.au/property/1d-wooddale-grove-mitcham-vic-3132/11861224"
"497A MITCHAM ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","2","654","150","1994","Not Disclosed","25 Jul 2025","Pending Settlement Advice","Harcourts Vermont South","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS338795","Owner Occupied","https://rpp.corelogic.com.au/property/497a-mitcham-road-mitcham-vic-3132/11854957"
"14 WARNES ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","340","104.31","1975","$865,000","24 Jul 2025","Pending Settlement Advice","Noel Jones Whitehorse","-","Neighbourhood Residential Zone - Schedule 3","1/PS729619","Owner Occupied","https://rpp.corelogic.com.au/property/14-warnes-road-mitcham-vic-3132/46034677"
"MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","962","-","-","$750,000","23 Jul 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","8/RP4040","Owner Occupied","https://rpp.corelogic.com.au/property/mitcham-road-mitcham-vic-3132/36778540"
"3/606 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","186","-","-","$750,000","23 Jul 2025","-","Harcourts Vermont South","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","3/RP4040","Owner Occupied","https://rpp.corelogic.com.au/property/3-606-mitcham-road-mitcham-vic-3132/11855119"
"2/5 LINLITHGOW STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","364","108","1980","$865,000","22 Jul 2025","Pending Settlement Advice","Noel Jones Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/SP29291","Owner Occupied","https://rpp.corelogic.com.au/property/2-5-linlithgow-street-mitcham-vic-3132/11853192"
"10 TOURELLO STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","557","120","1950","$938,000","22 Jul 2025","Pending Settlement Advice","Barry Plant - Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","1/SP36254","Rented","https://rpp.corelogic.com.au/property/10-tourello-street-mitcham-vic-3132/11859394"
"6/27 PERCY STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","1","2","166","106","2018","Not Disclosed","21 Jul 2025","Pending Settlement Advice","Barry Plant - Blackburn","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","6/PS817918","Rented","https://rpp.corelogic.com.au/property/6-27-percy-street-mitcham-vic-3132/44991745"
"2/32-34 BURNETT STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","2","203","-","2005","Not Disclosed","19 Jul 2025","Pending Settlement Advice","Jellis Craig - Hawthorn","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 4","2/PS524448","Owner Occupied","https://rpp.corelogic.com.au/property/2-32-34-burnett-street-mitcham-vic-3132/11847524"
"16 MOUNTFIELD ROAD ","MITCHAM","VIC","3132","House: Standard","3","1","4","613","-","-","$1,240,000","18 Jul 2025","-","RT Edgar Manningham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","208/LP26189","Owner Occupied","https://rpp.corelogic.com.au/property/16-mountfield-road-mitcham-vic-3132/11855320"
"5/41 ORIENT AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","69","63","1965","$550,000","12 Jul 2025","Pending Settlement Advice","Barry Plant - Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","5/SP36179","Owner Occupied","https://rpp.corelogic.com.au/property/5-41-orient-avenue-mitcham-vic-3132/11855878"
"25 HOPETOUN STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","1","2","655","156","-","$1,115,000","11 Jul 2025","Pending Settlement Advice","McGrath Blackburn","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","2/LP63149","Owner Occupied","https://rpp.corelogic.com.au/property/25-hopetoun-street-mitcham-vic-3132/11852671"
"70 QUARRY ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","1,190","276","1998","Not Disclosed","11 Jul 2025","Pending Settlement Advice","Walshe & Whitelock","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/TP831712","Owner Occupied","https://rpp.corelogic.com.au/property/70-quarry-road-mitcham-vic-3132/11857374"
